,ACCOUNTNO,des_all,count
196,010120003,['2 Story'],1
197,010120004,['Ranch 1 Story'],1
198,010120005,['2 Story'],1
199,010120006,['2 Story'],1
200,010120007,['Ranch 1 Story'],1
201,010120009,['2 Story'],1
202,010120010,['Ranch 1 Story'],1
203,010120011,['2 Story'],1
204,010120012,['Ranch 1 Story'],1
205,010120013,['2 Story'],1
206,010120014,['2 Story'],1
207,010120015,['2 Story'],1
208,010120016,['2 Story'],1
209,010120017,['2 Story'],1
210,010120018,['2 Story'],1
211,010120020,['Ranch 1 Story'],1
212,010120022,['2 Story'],1
213,010120024,['2 Story'],1
214,010120025,['2 Story'],1
215,010120026,['2 Story'],1
216,010120027,['2 Story'],1
217,010120028,['2 Story'],1
218,010120029,['2 Story'],1
219,010120030,['2 Story'],1
220,010120031,[nan],1
221,010120032,[nan],1
222,010120033,['Ranch 1 Story'],1
223,010130001,['2 Story'],1
224,010130002,['2 Story'],1
225,010130003,['2 Story'],1
226,010130004,['2 Story'],1
227,010130005,['Ranch 1 Story'],1
228,010130006,['Ranch 1 Story'],1
229,010130007,['2 Story'],1
230,010130008,['2 Story'],1
231,010130009,['2 Story'],1
232,010130010,['Bi Level'],1
233,010130011,['Ranch 1 Story'],1
234,010130012,['2 Story'],1
235,010130013,['Ranch 1 Story'],1
236,010130014,['Ranch 1 Story'],1
237,010130015,['Ranch 1 Story'],1
238,010130016,['Ranch 1 Story'],1
239,010130017,['2 Story'],1
240,010130018,['2 Story'],1
241,010130019,['2 Story'],1
242,010130020,['2 Story'],1
243,010150003,[nan],1
244,010150004,[nan],1
245,010150010,[nan],1
246,010150018,[nan],1
247,010150024,[nan],1
248,010150025,[nan],1
249,010150026,[nan],1
250,010150027,[nan],1
251,010160002,[nan],1
252,010160006,[nan],1
253,010160013,[nan],1
254,010160027,[nan],1
255,010160028,[nan],1
256,010160030,['2 Story'],1
257,010170007,['Ranch 1 Story'],1
258,010170010,[nan],1
259,010170011,[nan],1
260,010170014,[nan],1
261,010170015,[nan],1
262,010170018,[nan],1
263,010170022,['2 Story'],1
264,010170023,['2 Story'],1
265,010170027,[nan],1
266,010170028,[nan],1
267,010170029,[nan],1
268,010170030,[nan],1
269,010170031,[nan],1
270,010180008,[nan],1
271,010180009,[nan],1
272,010180011,[nan],1
273,010180015,[nan],1
274,010180016,[nan],1
275,010180018,['2 Story'],1
276,010180020,[nan],1
277,010180024,[nan],1
278,010180025,[nan],1
279,010180028,[nan],1
280,010190003,[nan],1
281,010190005,[nan],1
282,010190009,['2 Story'],1
283,010190010,['Detached Garage'],1
284,010190013,[nan],1
285,010190018,[nan],1
286,010190021,['2 Story'],1
287,010190023,['Ranch 1 Story'],1
288,010190025,['2 Story Split'],1
289,010190026,['2 Story'],1
290,010190027,[nan],1
291,010190029,[nan],1
292,010190030,[nan],1
293,010200010,['2 Story'],1
294,010200011,[nan],1
295,010200013,[nan],1
296,010200025,['2 Story'],1
297,010200029,['2 Story'],1
298,010200033,['2 Story'],1
299,010200035,[nan],1
300,010200037,[nan],1
301,010200038,[nan],1
302,010200043,[nan],1
303,010200047,[nan],1
304,010200048,[nan],1
305,010200051,[nan],1
306,010200052,[nan],1
307,010200053,[nan],1
308,010210002,[nan],1
309,010210009,[nan],1
310,010210045,[nan],1
311,010210050,['2 Story'],1
312,010210051,[nan],1
313,010210052,[nan],1
314,010210060,[nan],1
315,010210066,[nan],1
316,010210073,[nan],1
317,010210077,['Ranch 1 Story'],1
318,010210083,['2 Story'],1
319,010210084,[nan],1
320,010210086,['Church'],1
