ACCOUNTNO,des_all,count,class,notes
100910119,"['Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Multiple - Senior Citizens', 'Mini Warehouse', 'Mini Warehouse']",20,group_quarters,
80320143,"['Retail Store', 'Duplex One Story', 'Mixed Retail w Res Units', 'Multiple - Residential', 'Convenience Store', 'Restaurant', 'Shed - Equipment or Garage', 'Light Commercial Utility', 'Pavilions', 'Mini-Mart Convenience Stores', 'Restroom Building/Concessions', 'Light Commercial Utility', 'Pavilions', 'Multipurpose Buildings', 'Pavilions', 'R V Parks  *CODE', 'Ranch 1 Story COMM', 'Light Commercial Utility', 'Pavilions']",19,retail,cherry hill water park + campsite
10820108,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office Building', 'Office Building', 'Mini Warehouse', 'Mini Warehouse', 'Storage Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Equipment Building', 'Office Building', 'Office Building', 'Distribution Warehouse', 'Office Building']",18,industrial,
100300116,"['Fitness Center', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Multiple - Residential', 'Multiple - Residential', 'Office Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Light Commercial Utility', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",18,apartment,
13240005,"['Comm Bath House', 'Clubhouse', 'Multiple - Residential', 'Shower Building', 'Shower Building', 'Comm Bath House', 'Comm Bath House', 'Shower Building', 'Mobile Home Parks  *CODE', 'Comm Bath House', 'Comm Bath House', 'Comm Bath House', 'Comm Bath House', 'Comm Bath House', 'Comm Bath House', 'Comm Bath House']",16,retail,rv park
14210002,"['Mini Warehouse', 'Mini Warehouse', 'Office-Apartment', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",16,industrial,
20950066,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",16,apartment,
60510171,"['Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Maintenance (Storage) Buildings', 'Clubhouse', 'Multiple - Residential', 'Mini Warehouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",16,industrial,
90470120,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office Building', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",16,industrial,
101700001,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",16,apartment,
